year,rank,artist,title,wiki.url,songlyrics.url,lyrics,song.length,label,genre,line_repeat_count,title_repeat_count
1959,1,Johnny Horton,"""The Battle of New Orleans""",https://en.wikipedia.org/wiki/The_Battle_of_New_Orleans,https://www.songlyrics.com/johnny-horton/the-battle-of-new-orleans-lyrics/,"In 1814, we took a little trip
Along with Colonel Jackson down the mighty Mississip'
We took a little bacon and we took a little beans
And we caught the bloody British in the town of New Orleans

We fired our guns and the British kept a-comin'
There wasn't as many as there was a while ago
We fired once more and they began to runnin'
On down the Mississippi to the Gulf of Mexico

We looked down a river
And we see'd the British come
And there must have been a hundred of 'em
Beatin' on the drums
They stepped so high and they made their bugles ring
We stood beside our cotton bales and didn't say a thing

We fired our guns and the British kept a-comin'
There wasn't as many as there was a while ago
We fired once more and they began to runnin'
On down the Mississippi to the Gulf of Mexico

Old Hickory said we could take 'em by surprise
If we didn't fire our muskets
'Til we looked 'em in the eye
We held our fire
'Til we see'd their faces well
Then we opened up our squirrel guns
And really gave 'em, well

We fired our guns and the British kept a-comin'
There wasn't as many as there was a while ago
We fired once more and they begin to runnin'
On down the Mississippi to the Gulf of Mexico

Yeah, they ran through the briars
And they ran through the brambles
And they ran through the bushes
Where a rabbit couldn't go
They ran so fast
That the hounds couldn't catch 'em
On down the Mississippi to the Gulf of Mexico

We fired our cannon 'til the barrel melted down
So we grabbed an alligator and we fought another round
We filled his head with cannon balls, and powdered his behind
And when we touched the powder off the gator lost his mind

We fired our guns and the British kept a-comin'
There wasn't as many as there was a while ago
We fired once more and they began to runnin'
On down the Mississippi to the Gulf of Mexico

Yeah, they ran through the briars
And they ran through the brambles
And they ran through the bushes
Where a rabbit couldn't go
They ran so fast
That the hounds couldn't catch 'em
On down the Mississippi to the Gulf of Mexico

Hut-two-three-four
Sound off, three-four
Hut-two-three-four
Sound off, three-four",2:30,Columbia,"Country pop, novelty, march",33,0
1959,2,Bobby Darin,"""Mack the Knife""",https://en.wikipedia.org/wiki/Mack_the_Knife,https://www.songlyrics.com/bobby-darin/mack-the-knife-lyrics/,"Oh the shark, babe, has such teeth, dear
And it shows them pearly white
Just a jackknife has old MacHeath, babe
And he keeps it out of sight

You know when that shark bites with his teeth, babe
Scarlet billows start to spread
Fancy gloves though wears old MacHeath, babe
So there's never, never a trace of red

Now on a sidewalk, ooh Sunday mornin', uh-huh
Lies a body just oozin' life
And someone's sneakin' 'round a corner
Could that someone be Mack the Knife?

There's a tugboat, down by the river, don't you know?
Where a cement bag, just a-droopin' on down
Oh, that cement is just, it's there for the weight, dear
Five'll get you ten Old Macky's back in town

Now did ya hear 'bout Louie Miller? He disappeared, babe
After drawin' out all his hard-earned cash
And now MacHeath spends just like a sailor
Could it be our boy's done somethin' rash?

Jenny Diver, ho-ho, yeah, Suki Tawdry
Miss Lottie Lenya, and ol' Lucy Brown
Oh, the line forms, on the right, babe
Now that Macky's back in town

I said, Jenny Diver, whoa, Suki Tawdry
Look out Miss Lottie Lenya and old Lucy Brown
Yes, that line forms on the right, babe
Now that Macky's
Back in town

Look out Old Mack is back!",3:25,"Columbia, Coronet",Moritat,NA,1
1959,3,Lloyd Price,"""Personality""",https://en.wikipedia.org/wiki/Personality_(Lloyd_Price_song),https://www.songlyrics.com/lloyd-price/personality-lyrics/,"Over and over
I tried to prove my love to you
Over and over
What more can I do?
Over and over
My friends say I'm a fool
But over and over
I'll be a fool for you

'Cause you've got personality
Walk (with personality)
Talk (with personality)
Smile (with personality)
Charm (with personality)
Love (with personality)
And plus you've got a great big heart

So over (over and over)
And over (over and over)
Oh, I'll be a fool for you
Now over (over and over)
And over (over and over)
What more can I do?

'Cause you've got personality
Walk (with personality)
Talk (with personality)
Smile (with personality)
Charm (with personality)
Love (with personality)
And plus you've got a great big heart

So over (over and over)
And over (over and over)
Oh, I'll be a fool for you
Now over (over and over)
And over (over and over)
What more can I do?

Over and over
I said that I love you
Over and over, honey
Now it's the truth
Over and over
That still says I'm a fool
But over and over
I'll be a fool for you

'Cause you've got personality
Walk (with personality)
Talk (with personality)
Smile (with personality)
Charm (with personality)
Love (with personality)
And plus you've got a great big heart

So over (over and over)
And over (over and over)
Oh, I'll be a fool for you
Now over (over and over)
And over (over and over)
What more can I do?",2:35,ABC-Paramount,Rhythm & blues,49,18
1959,4,Frankie Avalon,"""Venus""",https://en.wikipedia.org/wiki/Venus_(Frankie_Avalon_song),https://www.songlyrics.com/frankie-avalon/venus-lyrics/,"(Ooh, ooh, ooh, ooh)
(Ooh, ooh, ooh, ooh)
(Ooh, ooh, ooh, ooh)
Hey, Venus, oh, Venus

Venus, if you will
Please send a little girl for me to thrill
A girl who wants my kisses and my arms
A girl with all the charms of you
(Ooh, ooh, ooh, ooh)
(Ooh, ooh, ooh, ooh)

Venus, make her fair
A lovely girl with sunlight in her hair
And take the brightest stars up in the skies
And place them in her eyes for me
(Ooh, ooh, ooh, ooh)
(Ooh, ooh, ooh, ooh)

Venus, goddess of love that you are
Surely the things I ask
Can't be too great a task

Venus, if you do
I promise that I always will be true
I'll give her all the love I have to give
As long as we both shall live
(Ooh, ooh, ooh, ooh)
(Ooh, ooh, ooh, ooh)

Venus, goddess of love that you are
Surely the things I ask
Can't be too great a task

Venus, if you do
I promise that I always will be true
I'll give her all the love I have to give
As long as we both shall live
(Ooh, ooh, ooh, ooh)
(Ooh, ooh, ooh, ooh)

Hey, Venus, oh, Venus
Make my wish come true
(Ooh, ooh, ooh, ooh)
(Ooh, ooh, ooh, ooh)
(Ooh, ooh, ooh, ooh)
(Ooh, ooh, ooh, ooh)",2:20,Chancellor,Pop,31,10
1959,5,Paul Anka,"""Lonely Boy""",https://en.wikipedia.org/wiki/Lonely_Boy_(Paul_Anka_song),https://www.songlyrics.com/paul-anka/lonely-boy-lyrics/,"I'm just a lonely boy, lonely and blue
I'm all alone, but nothin' to do
I've got everything, you could think of
But all I want, is someone to love

Someone, yes someone to love
Someone to kiss, someone to hold at a moment like this
I'd like to hear, somebody say
I'll give you my love, each night and day

I'm just a lonely boy, lonely and blue
I'm all alone, I got nothin' to do
I'd like to hear, just somebody say
I'll give you my love now, each night and day

I'm just a lonely boy, I'm lonely and blue
And I'm all alone, I got nothin' to do
I'd like to hear, just somebody say
That I'll give you my love, I'll give you my love, each night and day",2:31,ABC-Paramount,Pop,4,3
1959,6,Bobby Darin,"""Dream Lover""",https://en.wikipedia.org/wiki/Dream_Lover,https://www.songlyrics.com/bobby-darin/dream-lover-lyrics/,"Every night I hope and pray
A dream lover will come my way
A girl to hold in my arms
And know the magic of her charms

'Cause I want (yeah-yeah, yeah)
A girl (yeah-yeah, yeah)
To call (yeah-yeah, yeah)
My own (yeah-yeah)
I want a dream lover
So, I don't have to dream alone

Dream lover, where are you?
With a love, oh, so true
And the hand that I can hold
To feel you near as I grow old

'Cause I want (yeah-yeah, yeah)
A girl (yeah-yeah, yeah)
To call (yeah-yeah, yeah)
My own (yeah-yeah, yeah)
I want a dream lover
So, I don't have to dream alone

Someday, I don't know how
I hope she'll hear my pleas
Some way, I don't know how
She'll bring her love to me

Dream lover, until then
I'll go to sleep and dream again
That's the only thing to do
'Til all my lover's dreams come true

'Cause I want (yeah-yeah, yeah)
A girl (yeah-yeah, yeah)
To call (yeah-yeah, yeah)
My own (yeah-yeah, yeah)
I want a dream lover
So, I don't have to dream alone

Dream lover, until then
I'll go to sleep and dream again
That's the only thing to do
'Til all my lover's dreams come true

'Cause I want (yeah-yeah, yeah)
A girl (yeah-yeah, yeah)
To call (yeah-yeah, yeah)
My own (yeah-yeah, yeah)
I want a dream lover
So, I don't have to dream alone

Please, don't make me dream alone
I beg you, don't make me dream alone
No, I don't wanna dream alone",2:28,Atco 45-6140,"Rock and roll, doo-wop, pop",31,8
1959,7,The Browns,"""The Three Bells""",https://en.wikipedia.org/wiki/The_Three_Bells,https://www.songlyrics.com/the-browns/the-three-bells-lyrics/,"There's a village hidden deep in the valley
Among the pine trees half forlorn
And there on a Sunny morning
Little Jimmy Brown was born

All the chapel bells were ringing
In the little valley town
And the song that they were singing
Was for baby Jimmy Brown

Then the little congregation
Prayed for guidance from above
""Lead us not into temptation
Bless this hour of meditation
Guide him with eternal love""

There's a village hidden deep in the valley
Beneath the mountains high above
And there, twenty years thereafter
Jimmy was to meet his love

All the chapel bells were ringing
Was a great day in his life
'Cause the song that they were singing
Was for Jimmy and his wife

Then the little congregation
Prayed for guidance from above
""Lead us not into temptation
Bless oh Lord, this celebration
May their lives be filled with love""

From the village hidden deep in the valley
One rainy morning dark and gray
A soul winged its way to heaven
Jimmy Brown had passed away

Just a lonely bell was ringing
In the little valley town
'Twas farewell that it was singing
To our good old Jimmy Brown

And the little congregation
Prayed for guidance from above
""Lead us not into temptation
May his soul find the salvation
Of thy great eternal love""",2:47,RCA Victor,"Country, folk",14,0
1959,8,The Fleetwoods,"""Come Softly to Me""",https://en.wikipedia.org/wiki/Come_Softly_to_Me,https://www.songlyrics.com/the-fleetwoods/come-softly-to-me-lyrics/,"Doo dooby doo

Dum-dum, dum-doo-dum, dooby-doo
Dum-dum, dum-doo-dum, dooby-doo
Dum-dum, dum-doo-dum, dooby-doo
Dum-dum, dum-doo-dum, dooby-doo

(Come softly, darling) dum-dum, dum-doo-dum, dooby-doo
(Come softly, darling) dum-dum, dum-doo-dum, dooby-doo
(Come softly, darling) dum-dum, dum-doo-dum, dooby-doo
(Come softly, darling) dum-dum, dum-doo-dum, dooby-doo

(Come softly, darling) dum-dum, dum-doo-dum, dooby-doo
(Come to me, stay) dum-dum, dum-doo-dum, dooby-doo
(You're my obsession) dum-dum, dum-doo-dum, dooby-doo
(Forever and a day) dum-dum, dum-doo-dum, dooby-doo

I want, want you to know, dooby do
I love, I love you so, doby do
Please hold, hold me so tight, dooby do
All through, all through the night, dooby do

(I speak softly, darling) dum-dum, dum-doo-dum, dooby-doo
(Hear what I say) dum-dum, dum-doo-dum, dooby-doo
(I love you always) dum-dum, dum-doo-dum, dooby-doo
(Always, always) dum-dum, dum-doo-dum, dooby-doo

I've waited, waited so long, dooby do
For your kisses and your love, dooby do
Please come, come to me, dooby do
From up, from up above, dooby do

(Come softly, darling) I want, want you to know, dooby do
(Come softly, darling) I love, I love you so, dooby do
(Come softly) I need, Ineed you so much, dooby do
(Come softly) Want to feel your warm, warm touch, dooby do

Dum-dum, dum-doo-dum, dooby-doo
Dum-dum, dum-doo-dum, dooby-doo
Dum-dum, dum-doo-dum, dooby-doo
Dum-dum, dum-doo-dum, dooby-doo

Dum-dum, dum-doo-dum, dooby-doo
Dum-dum, dum-doo-dum, dooby-doo
Dum-dum, dum-doo-dum, dooby-doo...",2:25,"Dolphin Records, Liberty Records",Pop,15,0
1959,9,Wilbert Harrison,"""Kansas City""",https://en.wikipedia.org/wiki/Kansas_City_(Leiber_and_Stoller_song),https://www.songlyrics.com/wilbert-harrison/kansas-city-lyrics/,"I'm going to Kansas City, Kansas City here I come
I'm going to Kansas City, Kansas City here I come
They got some crazy lil' women there
And I'm gonna get me one

I'm gonna be standing on the corner
Of Twelfth Street and Vine
I'm gonna be standing on the corner
Of Twelfth Street and Vine
With my Kansas City baby
And a bottle of Kansas City wine

Well I might take a train
I might take a plane, but if I have to walk
I'm going just the same
I'm going to Kansas City, Kansas City here I come
They got some crazy lil' women there
And I'm gonna get me one

Oh but you know yeah

Now if I stay with that woman, I know I'm gonna die
Gotta find a brand new baby
That's the reason why
I'm going to Kansas City, Kansas City here I come

They got some crazy lil' women there and I'm gonna get me one
They got crazy lil' women there and I'm gonna get me one
They got some crazy lil' women there and I'm gonna get me one",2:22,Federal,R&B,14,10
1959,10,The Fleetwoods,"""Mr. Blue""",https://en.wikipedia.org/wiki/Mr._Blue,https://www.songlyrics.com/the-fleetwoods/mr-blue-lyrics/,"Our guardian star lost all his glow
The day that I lost you
He lost all his glitter the day you said no
And his silver turned to blue

Like him, I am doubtful
That your love is true
But if you decide to call on me
Ask for Mr. Blue

I'm Mr. Blue
When you say you love me (oh Mr. Blue)
Then prove it by going out on the sly
Proving your love isn't true
Call me Mr. Blue

I'm Mr. Blue
When you say you're sorry (oh Mr. Blue)
Then turn around, heading for the lights of town
Hurtin' me through and through
Call me Mr. Blue

I stay at home at night (I stay at home)
Right by the phone at night (right by the phone)
But you won't call
And I won't hurt my pride
Call me Mr

I won't tell you
While you paint the town (oh Mr. Blue)
A bright red to turn it upside down
I'm painting it too

But I'm painting it blue
Call me Mr. Blue
Call me Mr. Blue
Call me Mr. Blue",2:26,Dolton 5,Pop,7,11
